Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol_label,Timestamp,Flow Duration,IntervaloEntreFlujos,IntervaloEntreFlujos_seg
131.202.240.87-74.207.253.79-61009-51413-17,131.202.240.87,61009,74.207.253.79,51413,UDP,2015-05-01 11:38:51,64106424,0 days 00:00:00,0.0
131.202.240.87-65.98.72.100-61009-51413-17,131.202.240.87,61009,65.98.72.100,51413,UDP,2015-05-01 11:39:00,54869,0 days 00:00:09,9.0
131.202.240.87-79.132.74.152-61009-51413-17,131.202.240.87,61009,79.132.74.152,51413,UDP,2015-05-01 11:39:15,189748,0 days 00:00:15,15.0
131.202.240.87-199.195.249.48-61009-51413-17,131.202.240.87,61009,199.195.249.48,51413,UDP,2015-05-01 11:39:55,64041310,0 days 00:00:40,40.0
131.202.240.87-107.191.41.12-61009-51413-17,131.202.240.87,61009,107.191.41.12,51413,UDP,2015-05-01 11:40:59,64047674,0 days 00:00:00,0.0
131.202.240.87-74.207.253.79-61009-51413-17,131.202.240.87,61009,74.207.253.79,51413,UDP,2015-05-01 11:43:07,64096014,0 days 00:00:00,0.0
131.202.240.87-74.207.253.79-61009-51413-17,131.202.240.87,61009,74.207.253.79,51413,UDP,2015-05-01 11:45:15,64061798,0 days 00:00:00,0.0
131.202.240.87-107.191.41.12-61009-51413-17,131.202.240.87,61009,107.191.41.12,51413,UDP,2015-05-01 11:47:23,64043003,0 days 00:00:00,0.0
10.8.8.130-91.121.198.25-51413-51413-17,10.8.8.130,51413,91.121.198.25,51413,UDP,2015-06-04 09:34:52,126161,0 days 00:00:00,0.0
10.8.8.130-134.173.128.153-51413-51413-17,10.8.8.130,51413,134.173.128.153,51413,UDP,2015-06-04 09:35:04,279664,0 days 00:00:12,12.0
110.168.232.198-10.8.8.130-48319-51413-17,110.168.232.198,48319,10.8.8.130,51413,UDP,2015-06-04 09:35:31,5303557,0 days 00:00:27,27.0
10.152.152.11-217.81.12.186-40912-51413-6,10.152.152.11,40912,217.81.12.186,51413,TCP,2016-02-23 17:15:28,59895401,0 days 00:00:00,0.0
10.152.152.11-5.146.121.107-32985-51413-6,10.152.152.11,32985,5.146.121.107,51413,TCP,2016-02-23 17:15:33,59809650,0 days 00:00:05,5.0
10.152.152.11-5.146.121.107-32985-51413-6,10.152.152.11,32985,5.146.121.107,51413,TCP,2016-02-23 17:15:33,59809650,0 days 00:00:00,0.0
10.152.152.11-130.111.182.45-53697-51413-6,10.152.152.11,53697,130.111.182.45,51413,TCP,2016-02-23 17:15:41,37922058,0 days 00:00:08,8.0
10.152.152.11-130.111.182.45-53697-51413-6,10.152.152.11,53697,130.111.182.45,51413,TCP,2016-02-23 17:15:41,37922058,0 days 00:00:00,0.0
10.152.152.11-136.243.19.137-40138-51413-6,10.152.152.11,40138,136.243.19.137,51413,TCP,2016-02-23 17:15:48,103449878,0 days 00:00:07,7.0
10.152.152.11-136.243.19.137-40138-51413-6,10.152.152.11,40138,136.243.19.137,51413,TCP,2016-02-23 17:15:48,103449878,0 days 00:00:00,0.0
10.152.152.11-62.210.142.224-33981-51413-6,10.152.152.11,33981,62.210.142.224,51413,TCP,2016-02-23 17:15:49,103310806,0 days 00:00:01,1.0
10.152.152.11-62.210.142.224-33981-51413-6,10.152.152.11,33981,62.210.142.224,51413,TCP,2016-02-23 17:15:49,103310806,0 days 00:00:00,0.0
10.152.152.11-74.101.162.162-43720-51413-6,10.152.152.11,43720,74.101.162.162,51413,TCP,2016-02-23 17:16:05,44490,0 days 00:00:16,16.0
10.152.152.11-78.109.142.105-9100-51413-17,10.152.152.11,9100,78.109.142.105,51413,UDP,2016-02-23 17:16:05,9544790,0 days 00:00:00,0.0
10.152.152.11-78.109.142.105-9100-51413-17,10.152.152.11,9100,78.109.142.105,51413,UDP,2016-02-23 17:16:05,9544790,0 days 00:00:00,0.0
10.152.152.11-74.101.162.162-43720-51413-6,10.152.152.11,43720,74.101.162.162,51413,TCP,2016-02-23 17:16:05,44490,0 days 00:00:00,0.0
10.152.152.11-78.109.142.105-43778-51413-6,10.152.152.11,43778,78.109.142.105,51413,TCP,2016-02-23 17:16:06,24176,0 days 00:00:01,1.0
10.152.152.11-78.109.142.105-43778-51413-6,10.152.152.11,43778,78.109.142.105,51413,TCP,2016-02-23 17:16:06,24176,0 days 00:00:00,0.0
10.152.152.11-217.250.238.213-52125-51413-6,10.152.152.11,52125,217.250.238.213,51413,TCP,2016-02-23 17:16:16,117515764,0 days 00:00:10,10.0
10.152.152.11-217.250.238.213-52125-51413-6,10.152.152.11,52125,217.250.238.213,51413,TCP,2016-02-23 17:16:16,117515764,0 days 00:00:00,0.0
10.152.152.11-151.80.42.103-50733-51413-6,10.152.152.11,50733,151.80.42.103,51413,TCP,2016-02-23 17:16:21,115703215,0 days 00:00:05,5.0
10.152.152.11-151.80.42.103-50733-51413-6,10.152.152.11,50733,151.80.42.103,51413,TCP,2016-02-23 17:16:21,115703215,0 days 00:00:00,0.0
10.152.152.11-130.111.182.45-53697-51413-6,10.152.152.11,53697,130.111.182.45,51413,TCP,2016-02-23 17:17:41,19800765,0 days 00:00:00,0.0
10.152.152.11-136.243.19.137-40138-51413-6,10.152.152.11,40138,136.243.19.137,51413,TCP,2016-02-23 17:17:51,91204422,0 days 00:00:10,10.0
10.152.152.11-136.243.19.137-40138-51413-6,10.152.152.11,40138,136.243.19.137,51413,TCP,2016-02-23 17:17:51,91204422,0 days 00:00:00,0.0
10.152.152.11-62.210.142.224-33981-51413-6,10.152.152.11,33981,62.210.142.224,51413,TCP,2016-02-23 17:17:51,84324017,0 days 00:00:00,0.0
10.152.152.11-62.210.142.224-33981-51413-6,10.152.152.11,33981,62.210.142.224,51413,TCP,2016-02-23 17:17:51,84324017,0 days 00:00:00,0.0
10.152.152.11-217.81.12.186-40912-51413-6,10.152.152.11,40912,217.81.12.186,51413,TCP,2016-02-23 17:17:54,86107731,0 days 00:00:03,3.0
10.152.152.11-217.81.12.186-40912-51413-6,10.152.152.11,40912,217.81.12.186,51413,TCP,2016-02-23 17:17:54,86107731,0 days 00:00:00,0.0
10.152.152.11-130.111.182.45-53697-51413-6,10.152.152.11,53697,130.111.182.45,51413,TCP,2016-02-23 17:18:01,4179,0 days 00:00:07,7.0
10.152.152.11-130.111.182.45-53697-51413-6,10.152.152.11,53697,130.111.182.45,51413,TCP,2016-02-23 17:18:01,4179,0 days 00:00:00,0.0
10.152.152.11-5.146.121.107-32985-51413-6,10.152.152.11,32985,5.146.121.107,51413,TCP,2016-02-23 17:18:03,78020851,0 days 00:00:02,2.0
10.152.152.11-5.146.121.107-32985-51413-6,10.152.152.11,32985,5.146.121.107,51413,TCP,2016-02-23 17:18:03,78020851,0 days 00:00:00,0.0
